"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "PostCSS", "XML", "TypeScript", "TypeScript JSX", "JSON with Comments", "Markdown", "pip requirements", "HTML", "Python", "Database", "comment", "blank", "total"
"f:\Aero\AEROPS\Frontend\src\components\ui\use-toast.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"f:\Aero\AEROPS\Frontend\src\hooks\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"f:\Aero\AEROPS\Frontend\src\hooks\use-toast.ts", "TypeScript", 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 2, 31, 187
"f:\Aero\AEROPS\Frontend\src\index.css", "PostCSS", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 100
"f:\Aero\AEROPS\Frontend\src\lib\api.ts", "TypeScript", 0, 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 21, 227
"f:\Aero\AEROPS\Frontend\src\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"f:\Aero\AEROPS\Frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"f:\Aero\AEROPS\Frontend\src\pages\AddAircraft.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 7, 84
"f:\Aero\AEROPS\Frontend\src\pages\AddEngineer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 12, 130
"f:\Aero\AEROPS\Frontend\src\pages\AddPilot.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 0, 0, 0, 16, 312
"f:\Aero\AEROPS\Frontend\src\pages\AircraftDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 26, 178
"f:\Aero\AEROPS\Frontend\src\pages\AircraftInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 8, 67
"f:\Aero\AEROPS\Frontend\src\pages\EngineerDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 16, 192
"f:\Aero\AEROPS\Frontend\src\pages\EngineerInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 9, 84
"f:\Aero\AEROPS\Frontend\src\pages\Index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 4, 17
"f:\Aero\AEROPS\Frontend\src\pages\MainMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 2, 7, 92
